   2.18100e+03  2.18100e-03  1.00000e-06  3.84256e+02  2.91288e-01 -9.88143e-01  9.20693e-01  5.28399e+01 #[2022-01-18 17:41:33.747764]
   2.20100e+03  2.20100e-03  1.00000e-06  3.75687e+02  2.84793e-01 -9.88716e-01  9.21272e-01  5.28723e+01 #[2022-01-18 17:41:33.754139]
   2.22100e+03  2.22100e-03  1.00000e-06  3.66675e+02  2.77961e-01 -9.89300e-01  9.22367e-01  5.29034e+01 #[2022-01-18 17:41:33.760046]
   2.24100e+03  2.24100e-03  1.00000e-06  3.57067e+02  2.70678e-01 -9.89905e-01  9.23213e-01  5.29331e+01 #[2022-01-18 17:41:33.767101]
   2.26100e+03  2.26100e-03  1.00000e-06  3.46606e+02  2.62748e-01 -9.90528e-01  9.23773e-01  5.29619e+01 #[2022-01-18 17:41:33.772981]
   2.28100e+03  2.28100e-03  1.00000e-06  3.35440e+02  2.54283e-01 -9.91163e-01  9.24021e-01  5.29897e+01 #[2022-01-18 17:41:33.778900]
   2.30100e+03  2.30100e-03  1.00000e-06  3.24061e+02  2.45657e-01 -9.91799e-01  9.23938e-01  5.30166e+01 #[2022-01-18 17:41:33.786044]
   2.32100e+03  2.32100e-03  1.00000e-06  3.12931e+02  2.37220e-01 -9.92425e-01  9.23522e-01  5.30425e+01 #[2022-01-18 17:41:33.791931]
   2.34100e+03  2.34100e-03  1.00000e-06  3.02497e+02  2.29310e-01 -9.93029e-01  9.22783e-01  5.30671e+01 #[2022-01-18 17:41:33.798560]
   2.36100e+03  2.36100e-03  1.00000e-06  2.93326e+02  2.22358e-01 -9.93604e-01  9.22896e-01  5.30899e+01 #[2022-01-18 17:41:33.804908]
   2.38100e+03  2.38100e-03  1.00000e-06  2.85880e+02  2.16713e-01 -9.94145e-01  9.23693e-01  5.31108e+01 #[2022-01-18 17:41:33.810801]
   2.40100e+03  2.40100e-03  1.00000e-06  2.80219e+02  2.12422e-01 -9.94649e-01  9.24474e-01  5.31292e+01 #[2022-01-18 17:41:33.817933]
   2.42100e+03  2.42100e-03  1.00000e-06  2.76056e+02  2.09266e-01 -9.95115e-01  9.25230e-01  5.31443e+01 #[2022-01-18 17:41:33.823829]
   2.44100e+03  2.44100e-03  1.00000e-06  2.73005e+02  2.06954e-01 -9.95544e-01  9.25943e-01  5.31559e+01 #[2022-01-18 17:41:33.830547]
   2.46100e+03  2.46100e-03  1.00000e-06  2.70783e+02  2.05270e-01 -9.95937e-01  9.26588e-01  5.31637e+01 #[2022-01-18 17:41:33.836883]
   2.48100e+03  2.48100e-03  1.00000e-06  2.69282e+02  2.04131e-01 -9.96296e-01  9.27137e-01  5.31676e+01 #[2022-01-18 17:41:33.842776]
   2.50100e+03  2.50100e-03  1.00000e-06  2.68516e+02  2.03551e-01 -9.96622e-01  9.27563e-01  5.31675e+01 #[2022-01-18 17:41:33.850013]
   2.52100e+03  2.52100e-03  1.00000e-06  2.68495e+02  2.03535e-01 -9.96918e-01  9.28505e-01  5.31635e+01 #[2022-01-18 17:41:33.855905]
   2.54100e+03  2.54100e-03  1.00000e-06  2.69091e+02  2.03987e-01 -9.97186e-01  9.29371e-01  5.31556e+01 #[2022-01-18 17:41:33.861836]
   2.56100e+03  2.56100e-03  1.00000e-06  2.69932e+02  2.04624e-01 -9.97429e-01  9.30125e-01  5.31443e+01 #[2022-01-18 17:41:33.868956]
   2.58100e+03  2.58100e-03  1.00000e-06  2.70332e+02  2.04928e-01 -9.97650e-01  9.30768e-01  5.31296e+01 #[2022-01-18 17:41:33.874862]
   2.60100e+03  2.60100e-03  1.00000e-06  2.69648e+02  2.04409e-01 -9.97852e-01  9.31307e-01  5.31121e+01 #[2022-01-18 17:41:33.881631]
   2.62100e+03  2.62100e-03  1.00000e-06  2.68054e+02  2.03200e-01 -9.98037e-01  9.31752e-01  5.30924e+01 #[2022-01-18 17:41:33.888089]
   2.64100e+03  2.64100e-03  1.00000e-06  2.66516e+02  2.02035e-01 -9.98207e-01  9.32114e-01  5.30710e+01 #[2022-01-18 17:41:33.894017]
   2.66100e+03  2.66100e-03  1.00000e-06  2.65900e+02  2.01568e-01 -9.98363e-01  9.32401e-01  5.30479e+01 #[2022-01-18 17:41:33.901133]
   2.68100e+03  2.68100e-03  1.00000e-06  2.66721e+02  2.02190e-01 -9.98505e-01  9.32619e-01  5.30233e+01 #[2022-01-18 17:41:33.907032]
   2.70100e+03  2.70100e-03  1.00000e-06  2.69399e+02  2.04220e-01 -9.98634e-01  9.32772e-01  5.29969e+01 #[2022-01-18 17:41:33.913891]
   2.72100e+03  2.72100e-03  1.00000e-06  2.74032e+02  2.07733e-01 -9.98748e-01  9.32860e-01  5.29683e+01 #[2022-01-18 17:41:33.920258]
   2.74100e+03  2.74100e-03  1.00000e-06  2.79907e+02  2.12186e-01 -9.98849e-01  9.32883e-01  5.29372e+01 #[2022-01-18 17:41:33.926146]
   2.76100e+03  2.76100e-03  1.00000e-06  2.85522e+02  2.16442e-01 -9.98937e-01  9.32836e-01  5.29040e+01 #[2022-01-18 17:41:33.933387]
   2.78100e+03  2.78100e-03  1.00000e-06  2.89233e+02  2.19256e-01 -9.99011e-01  9.32715e-01  5.28694e+01 #[2022-01-18 17:41:33.939284]
   2.80100e+03  2.80100e-03  1.00000e-06  2.89899e+02  2.19760e-01 -9.99073e-01  9.32513e-01  5.28338e+01 #[2022-01-18 17:41:33.945196]
   2.82100e+03  2.82100e-03  1.00000e-06  2.87561e+02  2.17988e-01 -9.99124e-01  9.32222e-01  5.27983e+01 #[2022-01-18 17:41:33.952269]
   2.84100e+03  2.84100e-03  1.00000e-06  2.83836e+02  2.15164e-01 -9.99162e-01  9.31835e-01  5.27637e+01 #[2022-01-18 17:41:33.958164]
   2.86100e+03  2.86100e-03  1.00000e-06  2.81008e+02  2.13021e-01 -9.99187e-01  9.31346e-01  5.27304e+01 #[2022-01-18 17:41:33.964779]
   2.88100e+03  2.88100e-03  1.00000e-06  2.80573e+02  2.12691e-01 -9.99199e-01  9.30774e-01  5.26982e+01 #[2022-01-18 17:41:33.971236]
   2.90100e+03  2.90100e-03  1.00000e-06  2.82788e+02  2.14370e-01 -9.99195e-01  9.31054e-01  5.26663e+01 #[2022-01-18 17:41:33.977152]
   2.92100e+03  2.92100e-03  1.00000e-06  2.87023e+02  2.17580e-01 -9.99176e-01  9.33727e-01  5.26339e+01 #[2022-01-18 17:41:33.984412]
   2.94100e+03  2.94100e-03  1.00000e-06  2.92071e+02  2.21407e-01 -9.99140e-01  9.36430e-01  5.26001e+01 #[2022-01-18 17:41:33.990311]
